Date,Filename,Batch Index,Was health discussed at any point during this transcript?,People that participated in discussions about health,Were there discussions about health data or health information systems at any point during this transcript?,Summary of discussions about health data or health information systems,What challenges did the discussions around health data or health information systems identify?,What recommendations were discussed to improve health service delivery?,What decisions or resolutions or policies or laws were made regarding financing the health sector?,What evidence was used to inform any decisions or recommendations or resolutions or policies or laws?,"What health information was requested or demanded, and who was it requested from?"
2014-12-06,27th-Sitting-of-2017,0,No,"",No,"","","","","",""
2016-01-19,1st-sitting-of-2016,0,No,"",No,"","","","","",""
2016-01-20,2nd-sitting-of-2016,0,Yes,"Hon. (Ms.) Akinyi, Deputy Speaker (Hon. Mswabah Rashid), Hon. Ibrahim Kondo, Hon. Mohamed Ndanda, Hon. Stephen Wangudi, Hon. Mohamed Hatimy, Hon. Mary Akinyi, Hon. Fundi",No,"",Issues with sewage management near Airport and St. Andrews Church were raised during the session.,Recommendations were made to address sewage problems and improve access to healthcare facilities like Coast General Hospital.,"",Issues and complaints raised by the members during the session.,""
2016-01-20,2nd-sitting-of-2016,1,No,"",No,"","","","","",""
2016-01-20,3rd-sitting-of-2016,0,Yes,"Sarah Nyamvulah, Wangudi, Mary Akinyi, Zainab Said Ali, Lucy Chizi, Fadhili, Murfad, Mary Akinyi, Mary Akinyi, Lucy Chizi, Fadhili, Lucy Chireri",No,"",Parking issues and obstruction near Coast General Hospital,Establishment of a no-parking zone around Coast General Hospital,"",Observations and experiences shared during the discussions,No specific health information requested
2016-01-20,3rd-sitting-of-2016,1,Yes,"Mr. Speaker (Hon. Thadius Rajwayi), Hon. Sarah Nyamvulah, Hon. Wangudi, Hon. Mary Akinyi, Hon. Zainab Said Ali, Hon. Stephen Wangudi, Hon. Lucy Chizi",No,"","Parking issues around Coast General Hospital obstructing patients, medical staff, and pedestrians",Establishment of a no-parking zone around Coast General Hospital to improve access,"",Observations of parking issues obstructing hospital access,""
2016-01-21,4th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-01-21,4th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-01-26,5th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-01-26,5th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-01-26,5th-sitting-of-2016,2,No,"",No,"","","","","",""
2016-01-27,6th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-01-27,7th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-02-02,9th-sitting-of-2016,0,Yes,"Kibwana Swaleh, Mwidani, Fundi, Riziki",No,"","","","","",""
2016-02-03,10th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-02-03,10th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-02-03,11th-sitting-of-2016,0,Yes,"Hon. Mwalimu, Hon. Fadhili, Hon. Zeinab Omar Mumba, Hon. Kibwana Swaleh Baya",No,"",Delay in getting the signature for the health sector report,Committee advised to work efficiently and bring the report with all supporting documents,Order to send the health sector report back to the Health Committee for further work,Statements and concerns raised during the County Assembly debates,""
2016-02-10,14th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-02-10,14th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-02-10,14th-sitting-of-2016,2,No,"",No,"","","","","",""
2016-02-10,15th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-02-10,15th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-02-16,17th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-02-17,19th-sitting-of-2016,0,No,"",No,"","","","","",""
2016-02-17,19th-sitting-of-2016,1,No,"",No,"","","","","",""
2016-02-24,22nd-sitting-of-2016,0,No,"",No,"","","","","",""
