health_sector_discussed,health_sector_discussed_people_names,health_data_information_systems_discussed,health_data_information_systems_summary,health_data_challenges,health_service_delivery_improvement_recommendations,health_sector_decisions,health_evidence_base,health_evidence_requested,date,filename
No,,No,,,,No decisions.,Climate change and rising water levels,,2022-11-22,"Hansard November 22, 2022_0"
Yes,"Hon. Joel Karuri,Hon. Anthony Rotich,Hon. Wilson Wachira,Hon. Karanja,Hon. Virginia Wamaitha",Yes,"Discussions included the budget allocation for the Department of Health, challenges in equipping health facilities, and the importance of proper planning in the health sector.","Underperforming local revenue collection, lack of equipment in health facilities, unrealistic targets for development projects","Equip health facilities, set realistic targets for development projects, enhance revenue collection mechanisms",,,,2022-03-15,"Hansard March 15, 2022 (2)_0"
No,,No,,,,No decisions.,,,2023-07-18,"Hansard July 18, 2023 (2)_0"
Yes,"Hon. Joel Karuri, Hon. Njuguna Mwaura, Hon. Peter Palang'a",No,,"Low absorption of Development Funds, high expenditure on non-critical recurrent expenditure","1. Implement measures to improve budget execution, 2. Identify and address issues causing delays in development projects, 3. Establish optimal staffing structure, 4. Fast track forensic audit of debts and pending bills, 5. Address own source of revenue performance",No decisions.,Observations and data from the budget implementation,No specific request for health sector information was mentioned.,2022-04-06,"Hansard April 6, 2022_0"
No,,No,,,,No decisions.,None,,2023-09-19,"Hansard September 19, 2023 Morning Session_0"
No,,No,,,"Upgrading facilities, allocating funds effectively",No decisions.,"Budget and Appropriations Committee Report, County Treasury reports",No health sector information requested.,2022-02-22,"Hansard February 22, 2022 (2)_0"
No,,No,,,,No decisions.,,,2022-11-29,"Hansard November 29, 2022_0"
Yes,Njuguna Mwaura,No,,,"Generate more Motions, Statements, and Bills.",No decisions.,Visit report of the Committee on Health services to Bondeni Sub-County Hospital on 28th February 2023.,,2023-04-19,"Hansard April 19, 2023 MORNING SESSION_0"
No,,No,,,,No decisions.,N/A,N/A,2022-03-15,"Hansard March 15, 2022_0"
Yes,"Hon. Philip Wanjohi, Hon. Joel Karuri, Hon. Eddy Kiragu, Hon. Isaac Wahome, Hon. Virginia Wamaitha",No,,"The challenges identified include a high rate of accumulated recurrent pending bills since the inauguration of the county government, unbudgeted spending on pending bills, and the accumulation of debts inherited from defunct local authorities.",1. Departments will be responsible for paying their pending bills in the future to curtail unbudgeted spending. 2. Departmental pending bills will be prioritized for payment before planning for other expenditures in the following financial year.,No decisions.,"The discussions were based on the Medium-Term Debt Management Strategy Paper for 2022, financial reports, and audit findings.",No specific health sector information was requested during the transcript.,2022-03-22,"Hansard March 22, 2022 (2)_0"
Yes,"Hon. Anthony Kanyere, Hon. Njuguna Mwaura, Hon. Alex Mbugua, Hon. Mwangi Muraya, Hon. Jane Gituku",Yes,"Discussions included issues related to health facility management, patient care, staff shortages, infrastructure needs, and equipment requirements.","Shortage of drugs, inadequate infrastructure, lack of categorization for hospitals, lack of ownership documents, inadequate staff establishment, dilapidated structures, lack of specialists, inadequate services, and insufficient equipment","Allocate more resources for staff recruitment, construct a morgue and theater, equip the facility with essential equipment, buy an ambulance, refurbish the facility, complete the Maternity Wing, work with the Department of Lands for title deed issuance, ensure adequate HIV testing kits, implement drug tracking system",,Reports from visits to Mirugi Kariuki Hospital and Njoro Sub-County Hospital,Health sector information requested from the Committee on Health Services,2023-08-02,"Hansard August 2, 2023 Afternoon Session_0"
No,,No,,,,No decisions.,None,,2023-03-01,"Hansard March 1, 2023 AFTERNOON SESSION_0"
