transcript_date,health_discussed,health_discussed_people_names,health_data_information_systems_discussed,health_data_information_systems_summary,health_data_challenges,health_service_delivery_improvement_recommendations,health_sector_decisions,health_evidence_base,health_evidence_requested,filename
"February 9, 2021",Yes,Hon. Members,No,,COVID-19 guidelines adherence,"Ensure safe environment, prioritize legislative roles",Reconstitution of Committees,Ministry of Health guidelines,,1st-sitting-of-2021_0
"July 18,  2018",No,,No,,,,,,,52nd_Sitting_of_2018_updted_0
"October 5, 2016",No,,No,,,,,,,116th-sitting-of-2016_0
"October 19 , 2016",No,,No,,,,,,,124th-sitting-of-2016_0
"August 3 , 2016",Yes,"Hon. Mohamed Hatimy, Hon. Faraj, Hon. Ndanda, Hon. Akinyi, Hon. Mwalimu, Hon. Mwidani, Hon. Ahmed Omar Ebrahim, Hon. Zeinab Kithinzi, Hon. Karisa Nzai, Hon. Nasser Rashid, Hon. Ibrahim Kondo, Hon. Wangudi",No,,Printing errors in the document,To correct printing errors and follow proper procedures,,,,82nd-sitting-of-2016_0
"September  29, 2016",Yes,"Hon. Fadhili Mwalimu, Hon. Mary Akinyi",No,,,,,,Information about NHIF registration for orphans,112th-sitting-of-2016_0
"October 3, 2017",Yes,"Hon. Dr. William Kazungu Kingi, Hon. Hamisi Mwidani, Hon. Kitula, Hon. Amur, Hon. Ramla Said Omar, Hon. Lucy Chizi Chireri, Hon. Robert Nyiro",No,,"Lack of legislation for youth employment, limitations on experience requirements for job applications, lack of consideration for Persons Living with Disabilities (PWDs) in employment and empowerment efforts","Enforcement of legislation for youth employment, addressing experience requirements for job applications, inclusion of PWDs in employment and empowerment efforts, engagement of PWDs in environmental initiatives, provision of public toilets for PWDs, inclusion of PWDs in health insurance recommendations, ensuring proper facilities and education for PWDs, supporting PWD entrepreneurs, providing infrastructure for PWD mobility, and considering PWDs in urban planning, housing development, and land management",,Discussions and speeches on the challenges faced by youth and Persons Living with Disabilities and recommendations for their empowerment and inclusion in various sectors,,6th-Sitting-of-2017_0
"May 29, 2023",No,,No,,,,,,,Special-Sitting-May-2023_1
"June 30, 2016",No,,No,,,,,,,67th-sitting-of-2016_0
"August  23, 2016",No,,Yes,"Discussions about the benefits of Kenya Ports Authority to Mombasa County were conducted by an Ad hoc committee. The report highlighted the CSR projects undertaken by KPA in Mombasa, focusing on education and health projects. The report also mentioned the need for clearer indication of the financial years in which the projects were undertaken and suggested visits to project sites for verification.",The challenges identified include the lack of clear breakdown of project timelines and the direct engagement of KPA with institutions without involvement of grassroots leaders like Members of County Assembly.,,,The evidence presented includes the findings of the Ad hoc committee and discussions with KPA officials regarding their CSR projects in Mombasa.,N/A,89th-sitting-of-2016_1
